identifier,condition,task_1,task_2,total_time,total_time_map,total_time_calendar,total_time_overview,total_interactions,total_circle_clicks,total_circle_clicks_add,total_circle_clicks_remove,total_circle_clicks_map,total_circle_clicks_map_add,total_circle_clicks_map_remove,total_circle_clicks_calendar,total_circle_clicks_calendar_add,total_circle_clicks_calendar_remove,total_remove_single_clicks,total_remove_all_clicks,total_sort_open_clicks,total_sort_option_clicks,total_circle_hovers,total_circle_hovers_map,total_circle_hovers_calendar,map_circle_hover,map_circle_click_add,map_circle_click_remove,calendar_circle_hover,calendar_circle_click_add,calendar_circle_click_remove,overview_remove_single,overview_remove_all,overview_sort_open,overview_sort_option
48,1,1,3,213.47,131.65,0.24,81.58,53,9,9,5,9,9,0,0,0,0,4,1,0,0,39,38,1,0-9-0-0-0-0-1-0-0-0,8-0-0-0-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
49,1,1,3,217.62,131.68,31.0,54.94,41,9,9,5,9,9,0,0,0,0,4,1,0,0,27,27,0,0-9-0-0-0-0-1-0-0-0,8-0-0-0-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
50,1,1,3,246.73,154.41,58.26,34.06,72,11,8,4,6,3,3,5,5,0,0,1,0,0,60,42,18,0-3-3-0-0-0-0-0-0-0,3-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0,1-0-0-0-5-0-0-0-0-0,0-0-0-5-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
51,2,2,4,117.21,15.5,76.46,25.24,56,7,7,4,0,0,0,7,7,0,3,1,0,0,45,1,44,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-7-0-0-0-0-0,0-0-0-6-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
52,2,2,4,266.17,251.67,0.79,13.72,89,14,9,6,14,9,5,0,0,0,0,1,0,0,74,74,0,0-9-5-0-0-0-0-0-0-0,9-0-0-0-0-0-0-0-0-0,4-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
53,1,1,3,184.98,98.59,69.97,16.41,79,8,7,4,4,4,0,4,3,1,2,1,0,0,68,25,43,0-4-0-0-0-0-1-0-0-0,4-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-3-1-0-0-0-0,0-0-0-3-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
54,2,2,4,109.97,15.89,92.4,1.68,53,4,4,1,0,0,0,4,4,0,0,1,0,0,48,0,48,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-4-0-0-0-0-0,0-0-0-4-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
55,1,1,3,200.42,70.22,65.82,64.38,71,8,8,6,3,3,0,5,5,0,4,2,0,0,57,17,40,0-3-0-0-0-0-1-0-0-0,3-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-5-0-1-0-0-0,0-0-0-4-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-1-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
56,3,1,4,292.15,159.77,34.45,97.93,63,2,2,1,2,2,0,0,0,0,0,1,0,0,60,50,10,0-2-0-2-0-0-0-1-0-0,2-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
57,3,2,3,448.66,401.79,0.0,46.88,82,10,7,7,10,7,3,0,0,0,3,1,0,0,68,68,0,0-6-1-0-0-0-0-0-0-0,3-0-2-0-0-0-1-1-0-0,1-1-0-0-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
58,3,1,4,170.07,113.05,22.36,34.66,76,26,23,4,13,11,2,13,12,1,0,1,4,2,43,24,19,0-11-1-0-0-0-0-0-0-0,9-0-1-0-0-0-0-0-1-0,2-0-0-0-0-0-0-0-0-0,0-0-0-0-12-1-0-0-0-0,0-0-0-11-0-0-0-0-0-0,0-0-0-0-0-0-0-0-1-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-2,1-0-0-1-0-0-0-0-0-0
59,3,2,3,167.77,122.22,18.29,27.25,76,18,17,4,6,5,1,12,12,0,2,1,0,0,55,39,16,0-5-0-1-0-0-1-0-0-0,4-0-1-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-12-0-0-0-0-0,1-0-0-11-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
60,3,1,4,274.7,189.66,8.0,77.04,63,15,13,9,15,13,2,0,0,0,5,2,0,0,41,40,1,0-12-2-1-0-0-0-0-0-0,7-0-0-0-0-0-5-1-0-0,1-1-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,4-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
61,3,2,3,225.87,86.98,95.8,43.09,53,9,9,6,4,4,0,5,5,0,5,1,2,2,34,14,20,0-4-0-0-0-0-0-0-0-0,2-0-0-0-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-5-0-1-0-1-0,0-0-0-2-0-0-2-0-1-0,0-0-0-0-0-0-0-0-0-0,1-0-0-2-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-2,0-0-0-2-0-0-0-0-0-0
62,3,1,4,226.62,140.55,72.52,13.56,68,9,9,1,4,4,0,5,5,0,0,1,0,0,58,29,29,0-4-0-1-0-0-0-0-0-0,4-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-5-0-0-0-0-0,0-0-0-4-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
63,3,2,3,190.97,80.55,85.15,25.27,49,5,5,2,1,1,0,4,4,0,1,1,0,0,42,11,31,0-1-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-4-0-1-0-0-0,0-0-0-4-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
